timestamp,from,to,amount,eventType
6178687,a3,f2,344199.24,MONEY_TRANSFER
8316549,a5,f3,574707.24,MONEY_TRANSFER
8505665,a0,f4,312569.04,MONEY_TRANSFER
13818271,a1,f2,364906.21,MONEY_TRANSFER
16129545,a1,f2,370898.28,MONEY_TRANSFER
16182089,a5,f3,313116.84,MONEY_TRANSFER
18899538,a0,f4,628054.13,MONEY_TRANSFER
20978793,a0,f4,407349.52,MONEY_TRANSFER
21234192,a5,f3,678532.3,MONEY_TRANSFER
21609155,a4,f1,375584.55,MONEY_TRANSFER
21737327,a3,f2,439055.86,MONEY_TRANSFER
23397731,a1,f2,464983.17,MONEY_TRANSFER
24368082,a2,f2,823662.14,MONEY_TRANSFER
26559745,a3,f2,870131.19,MONEY_TRANSFER
27163516,a2,f2,325304.46,MONEY_TRANSFER
28778309,a1,f2,313338.18,MONEY_TRANSFER
29754019,a1,f2,249953.0,MONEY_TRANSFER
31444787,a1,f2,347450.8,MONEY_TRANSFER
32249215,a3,f2,289782.22,MONEY_TRANSFER
32590638,a2,f2,260779.26,MONEY_TRANSFER
32620996,a4,f1,454325.45,MONEY_TRANSFER
35080109,a3,f2,345531.86,MONEY_TRANSFER
35101146,a1,f2,288363.24,MONEY_TRANSFER
37106476,a0,f4,328391.41,MONEY_TRANSFER
37184568,a3,f2,382079.12,MONEY_TRANSFER
39812947,a2,f2,420607.37,MONEY_TRANSFER
40050161,a5,f3,1152135.67,MONEY_TRANSFER
40054781,a4,f1,480179.39,MONEY_TRANSFER
40395246,a3,f2,339464.0,MONEY_TRANSFER
42595742,a5,f3,422557.68,MONEY_TRANSFER
42736380,a1,f2,481309.39,MONEY_TRANSFER
42907393,a5,f3,431835.45,MONEY_TRANSFER
43318634,a4,f1,341233.83,MONEY_TRANSFER
45229444,a4,f1,565912.14,MONEY_TRANSFER
45482139,a0,f4,249510.31,MONEY_TRANSFER
45717170,a0,f0,388282.86,MONEY_TRANSFER
45891698,a2,f2,584332.02,MONEY_TRANSFER
47754056,a1,f2,350518.47,MONEY_TRANSFER
47962590,a1,f2,969876.88,MONEY_TRANSFER
48520909,a4,f1,427806.32,MONEY_TRANSFER
50634240,a3,f2,487023.67,MONEY_TRANSFER
50943336,a5,f3,427911.28,MONEY_TRANSFER
52519638,a1,f2,1002413.06,MONEY_TRANSFER
52960725,a2,f2,620205.52,MONEY_TRANSFER
53578681,a5,f3,814397.2,MONEY_TRANSFER
55721189,a2,f2,551523.65,MONEY_TRANSFER
55973599,a4,f1,576212.89,MONEY_TRANSFER
58247401,a1,f2,337558.17,MONEY_TRANSFER
58472521,a3,f2,389067.2,MONEY_TRANSFER
58927487,a5,f3,478996.28,MONEY_TRANSFER
60813537,a4,f1,699088.36,MONEY_TRANSFER
60966111,a0,f0,416829.14,MONEY_TRANSFER
61411730,a5,f3,423641.07,MONEY_TRANSFER
61648546,a5,f3,692529.95,MONEY_TRANSFER
61703594,a2,f2,637100.65,MONEY_TRANSFER
63080424,a3,f2,504712.13,MONEY_TRANSFER
