timestamp,investor,amount,traced,eventType
318771,F6,571136.5,True,NOTINVOLVED_INVESTMENT
328222,F9,613214.4,True,NOTINVOLVED_INVESTMENT
393782,F11,553147.13,True,NOTINVOLVED_INVESTMENT
460539,F5,555013.83,True,NOTINVOLVED_INVESTMENT
489935,F12,595479.52,True,NOTINVOLVED_INVESTMENT
581624,F0,575095.78,True,NOTINVOLVED_INVESTMENT
593208,F13,554758.75,True,NOTINVOLVED_INVESTMENT
644126,F4,566367.3,True,NOTINVOLVED_INVESTMENT
651553,F14,626216.85,True,NOTINVOLVED_INVESTMENT
651998,F2,574832.7,True,NOTINVOLVED_INVESTMENT
688637,F3,582259.27,True,NOTINVOLVED_INVESTMENT
728059,F8,616176.57,True,NOTINVOLVED_INVESTMENT
733256,F7,578170.28,True,NOTINVOLVED_INVESTMENT
858838,F1,633258.77,True,NOTINVOLVED_INVESTMENT
873542,F10,597518.03,True,NOTINVOLVED_INVESTMENT
2535019,F2,546042.67,True,NOTINVOLVED_INVESTMENT
2571831,F14,609053.83,True,NOTINVOLVED_INVESTMENT
2662657,F6,639520.56,True,NOTINVOLVED_INVESTMENT
2756590,F11,606058.86,True,NOTINVOLVED_INVESTMENT
2809930,F10,558251.52,True,NOTINVOLVED_INVESTMENT
2874529,F13,625729.09,True,NOTINVOLVED_INVESTMENT
3193464,F3,560735.84,True,NOTINVOLVED_INVESTMENT
3447202,F12,560977.49,True,NOTINVOLVED_INVESTMENT
3524851,F9,549191.3,True,NOTINVOLVED_INVESTMENT
3581692,F7,634853.9,True,NOTINVOLVED_INVESTMENT
3646557,F0,648650.51,True,NOTINVOLVED_INVESTMENT
3752510,F4,567737.33,True,NOTINVOLVED_INVESTMENT
3820394,F1,561306.25,True,NOTINVOLVED_INVESTMENT
3828972,F5,619133.25,True,NOTINVOLVED_INVESTMENT
4133318,F8,603017.77,True,NOTINVOLVED_INVESTMENT
4804101,F14,553895.31,True,NOTINVOLVED_INVESTMENT
4999732,F6,623308.89,True,NOTINVOLVED_INVESTMENT
5012086,F10,659168.57,True,NOTINVOLVED_INVESTMENT
5156489,F2,610303.39,True,NOTINVOLVED_INVESTMENT
5431368,F11,650222.21,True,NOTINVOLVED_INVESTMENT
5554732,F12,597752.05,True,NOTINVOLVED_INVESTMENT
5896911,F1,630080.26,True,NOTINVOLVED_INVESTMENT
5954443,F4,570701.68,True,NOTINVOLVED_INVESTMENT
6106129,F13,643398.72,True,NOTINVOLVED_INVESTMENT
6188513,F3,571851.26,True,NOTINVOLVED_INVESTMENT
6189732,F7,541541.41,True,NOTINVOLVED_INVESTMENT
6639471,F9,629434.13,True,NOTINVOLVED_INVESTMENT
6676548,F14,657441.19,True,NOTINVOLVED_INVESTMENT
6749521,F5,639344.49,True,NOTINVOLVED_INVESTMENT
7024231,F10,639079.79,True,NOTINVOLVED_INVESTMENT
7047571,F0,567344.01,True,NOTINVOLVED_INVESTMENT
7100394,F8,640783.75,True,NOTINVOLVED_INVESTMENT
7430568,F12,621983.6,True,NOTINVOLVED_INVESTMENT
7959548,F6,549863.84,True,NOTINVOLVED_INVESTMENT
8076353,F11,600670.82,True,NOTINVOLVED_INVESTMENT
8130637,F13,647235.61,True,NOTINVOLVED_INVESTMENT
8226122,F2,626647.27,True,NOTINVOLVED_INVESTMENT
8316549,f3,574707.24,True,SHADOW_INVESTMENT
8359746,F4,608140.72,True,NOTINVOLVED_INVESTMENT
8600998,F3,610974.64,True,NOTINVOLVED_INVESTMENT
8654676,F14,654268.13,True,NOTINVOLVED_INVESTMENT
8789744,F9,606544.23,True,NOTINVOLVED_INVESTMENT
8966924,F1,565219.41,True,NOTINVOLVED_INVESTMENT
9078196,F8,643726.07,True,NOTINVOLVED_INVESTMENT
9107313,F7,614332.03,True,NOTINVOLVED_INVESTMENT
9179095,F0,584024.44,True,NOTINVOLVED_INVESTMENT
9458995,F5,599583.21,True,NOTINVOLVED_INVESTMENT
9481059,F12,573393.91,True,NOTINVOLVED_INVESTMENT
10194716,F11,612782.36,True,NOTINVOLVED_INVESTMENT
10245889,F13,644496.5,True,NOTINVOLVED_INVESTMENT
10371645,F10,555270.76,True,NOTINVOLVED_INVESTMENT
10579475,F14,605215.12,True,NOTINVOLVED_INVESTMENT
11000419,F6,591337.95,True,NOTINVOLVED_INVESTMENT
11158545,F3,626975.06,True,NOTINVOLVED_INVESTMENT
11265495,F1,587055.99,True,NOTINVOLVED_INVESTMENT
11452497,F9,571267.57,True,NOTINVOLVED_INVESTMENT
