timestamp,from,to,amount,eventType
696699,a5,f2,396201.13,MONEY_TRANSFER
3255771,a2,f2,281264.72,MONEY_TRANSFER
6141328,a1,f2,345679.54,MONEY_TRANSFER
6229454,a2,f2,406444.67,MONEY_TRANSFER
10467643,a0,f3,430013.58,MONEY_TRANSFER
10547093,a3,f1,479983.54,MONEY_TRANSFER
13215776,a2,f2,548633.92,MONEY_TRANSFER
14135449,a5,f2,390441.18,MONEY_TRANSFER
15658385,a0,f3,1017430.66,MONEY_TRANSFER
20890318,a4,f4,733896.43,MONEY_TRANSFER
23429259,a1,f2,426375.15,MONEY_TRANSFER
23766201,a2,f2,353086.36,MONEY_TRANSFER
24315076,a4,f4,821782.78,MONEY_TRANSFER
25933913,a1,f2,412916.26,MONEY_TRANSFER
26168150,a5,f2,294868.85,MONEY_TRANSFER
26671408,a5,f2,335819.22,MONEY_TRANSFER
28423386,a4,f0,258528.0,MONEY_TRANSFER
29003627,a3,f1,383642.98,MONEY_TRANSFER
31221895,a4,f0,390112.96,MONEY_TRANSFER
31327154,a1,f2,310075.21,MONEY_TRANSFER
33774850,a5,f2,360183.19,MONEY_TRANSFER
37124366,a1,f2,347672.64,MONEY_TRANSFER
37678310,a0,f3,340719.25,MONEY_TRANSFER
41757332,a5,f2,377689.34,MONEY_TRANSFER
42995726,a4,f0,701875.51,MONEY_TRANSFER
44658748,a2,f2,356076.6,MONEY_TRANSFER
47422426,a3,f1,493603.7,MONEY_TRANSFER
50905125,a1,f2,578942.64,MONEY_TRANSFER
52380987,a5,f2,338473.78,MONEY_TRANSFER
53294489,a5,f2,395849.58,MONEY_TRANSFER
54593959,a4,f0,967980.43,MONEY_TRANSFER
56142865,a3,f1,263857.18,MONEY_TRANSFER
58122271,a0,f3,333286.59,MONEY_TRANSFER
58883734,a4,f0,482005.33,MONEY_TRANSFER
