timestamp,from,to,amount,eventType
2832679,a0,f0,752783.44,MONEY_TRANSFER
3418081,a4,f2,664672.01,MONEY_TRANSFER
3438936,a3,f3,638070.84,MONEY_TRANSFER
5368392,a5,f1,600430.51,MONEY_TRANSFER
6054983,a2,f0,399853.86,MONEY_TRANSFER
8713385,a2,f0,686188.29,MONEY_TRANSFER
11170450,a5,f2,655241.53,MONEY_TRANSFER
11175884,a4,f2,403648.16,MONEY_TRANSFER
13639591,a5,f2,579439.45,MONEY_TRANSFER
14361479,a0,f0,614179.65,MONEY_TRANSFER
17905369,a3,f3,336142.13,MONEY_TRANSFER
20391328,a4,f2,747966.31,MONEY_TRANSFER
21937057,a5,f2,273567.83,MONEY_TRANSFER
23885879,a2,f4,662554.97,MONEY_TRANSFER
24709473,a2,f0,327886.93,MONEY_TRANSFER
26355322,a1,f2,326917.36,MONEY_TRANSFER
27257293,a2,f0,1744152.02,MONEY_TRANSFER
29654906,a2,f0,488966.49,MONEY_TRANSFER
32093715,a3,f3,334437.02,MONEY_TRANSFER
32164279,a5,f1,537069.59,MONEY_TRANSFER
32763575,a2,f0,623742.53,MONEY_TRANSFER
33470382,a5,f2,945731.78,MONEY_TRANSFER
34902063,a0,f0,440606.69,MONEY_TRANSFER
42229954,a5,f1,335210.48,MONEY_TRANSFER
42405733,a3,f3,338106.56,MONEY_TRANSFER
44649180,a2,f0,355495.05,MONEY_TRANSFER
44890272,a4,f2,469844.1,MONEY_TRANSFER
45509115,a0,f0,522058.48,MONEY_TRANSFER
46250475,a5,f1,269515.4,MONEY_TRANSFER
48892850,a5,f1,337596.5,MONEY_TRANSFER
50115329,a4,f2,405832.88,MONEY_TRANSFER
60766120,a1,f2,1249262.6,MONEY_TRANSFER
62275678,a4,f2,604245.54,MONEY_TRANSFER
