timestamp,from,to,amount,eventType
6088884,a5,f4,609298.86,MONEY_TRANSFER
8450352,a2,f3,725796.42,MONEY_TRANSFER
11093052,a4,f5,516170.95,MONEY_TRANSFER
13837170,a4,f5,496837.0,MONEY_TRANSFER
13860649,a1,f5,379621.26,MONEY_TRANSFER
16244849,a4,f5,468979.84,MONEY_TRANSFER
16483786,a5,f4,577743.76,MONEY_TRANSFER
16745652,a5,f4,405735.54,MONEY_TRANSFER
18859986,a1,f5,526891.2,MONEY_TRANSFER
21691499,a3,f2,438987.17,MONEY_TRANSFER
22185228,a0,f0,1012221.08,MONEY_TRANSFER
26515927,a2,f3,366764.5,MONEY_TRANSFER
26982448,a1,f5,1110738.32,MONEY_TRANSFER
27358483,a3,f2,333589.27,MONEY_TRANSFER
29693242,a4,f5,476295.0,MONEY_TRANSFER
29901632,a5,f4,462101.18,MONEY_TRANSFER
30183181,a4,f5,1045401.6,MONEY_TRANSFER
31476006,a5,f4,708324.58,MONEY_TRANSFER
32279647,a5,f4,430885.47,MONEY_TRANSFER
35135974,a5,f1,345340.27,MONEY_TRANSFER
37430627,a5,f4,1864285.7,MONEY_TRANSFER
37854662,a2,f3,587306.02,MONEY_TRANSFER
37878391,a5,f4,600323.27,MONEY_TRANSFER
40719008,a5,f4,409390.13,MONEY_TRANSFER
40821982,a4,f5,764292.72,MONEY_TRANSFER
41958760,a5,f4,425720.29,MONEY_TRANSFER
46016590,a1,f5,366280.63,MONEY_TRANSFER
47992237,a4,f5,503299.04,MONEY_TRANSFER
48488893,a3,f2,485403.6,MONEY_TRANSFER
51164430,a3,f2,352871.42,MONEY_TRANSFER
52376302,a5,f4,345210.08,MONEY_TRANSFER
53043102,a2,f3,379415.07,MONEY_TRANSFER
53546920,a0,f0,324500.15,MONEY_TRANSFER
56051970,a5,f4,606286.4,MONEY_TRANSFER
58866495,a5,f1,360064.2,MONEY_TRANSFER
