timestamp,buyer,seller,component,qty,price,traced,eventType
310256,l32,X6,c2,36226,6.41,True,NOTINVOLVED_PURCHASE
335524,l25,X4,c6,76972,9.36,True,NOTINVOLVED_PURCHASE
344990,l24,X4,c5,100223,11.29,True,NOTINVOLVED_PURCHASE
391838,l19,X1,c4,67099,11.73,True,NOTINVOLVED_PURCHASE
401601,l11,X4,c2,37532,5.82,True,NOTINVOLVED_PURCHASE
415135,l3,X5,c4,87826,16.25,True,NOTINVOLVED_PURCHASE
424533,l37,X1,c1,78262,3.24,True,NOTINVOLVED_PURCHASE
431211,l12,X3,c4,103288,9.99,True,NOTINVOLVED_PURCHASE
433557,l34,X5,c4,77277,9.58,True,NOTINVOLVED_PURCHASE
440499,l2,X0,c6,92517,3.1,True,NOTINVOLVED_PURCHASE
446881,l13,X2,c5,65063,10.51,True,NOTINVOLVED_PURCHASE
460173,l35,X0,c5,52986,19.64,True,NOTINVOLVED_PURCHASE
475544,l18,X6,c6,80295,4.28,True,NOTINVOLVED_PURCHASE
480910,A6,X1,c4,36022,6.44,True,NORMAL_PURCHASE
496663,l36,X2,c4,56047,7.92,True,NOTINVOLVED_PURCHASE
505791,l21,X4,c2,84047,7.79,True,NOTINVOLVED_PURCHASE
516369,l31,X4,c4,117890,13.52,True,NOTINVOLVED_PURCHASE
524566,l26,X0,c4,87273,7.52,True,NOTINVOLVED_PURCHASE
557106,l29,X0,c4,70431,5.77,True,NOTINVOLVED_PURCHASE
568831,l30,X0,c4,62327,11.06,True,NOTINVOLVED_PURCHASE
593910,l0,X6,c2,113226,6.73,True,NOTINVOLVED_PURCHASE
598876,l14,X4,c4,113173,11.1,True,NOTINVOLVED_PURCHASE
600412,l4,X4,c2,62824,7.17,True,NOTINVOLVED_PURCHASE
602928,l28,X3,c4,47970,5.92,True,NOTINVOLVED_PURCHASE
611279,l17,X2,c6,107411,3.62,True,NOTINVOLVED_PURCHASE
632269,l20,X5,c6,115221,8.01,True,NOTINVOLVED_PURCHASE
637989,l33,X1,c3,111683,3.03,True,NOTINVOLVED_PURCHASE
648226,l5,X0,c5,99113,13.71,True,NOTINVOLVED_PURCHASE
653216,l10,X5,c4,100167,10.05,True,NOTINVOLVED_PURCHASE
658412,l27,X5,c6,82779,8.97,True,NOTINVOLVED_PURCHASE
661173,A4,X0,c4,55546,5.51,True,NORMAL_PURCHASE
668027,l15,X6,c6,49226,10.23,True,NOTINVOLVED_PURCHASE
676683,A5,X1,c6,105381,8.34,True,NORMAL_PURCHASE
689530,A3,X0,c1,85969,2.0,True,NORMAL_PURCHASE
735718,l39,X6,c2,104797,5.83,True,NOTINVOLVED_PURCHASE
737710,l7,X1,c3,82596,2.13,True,NOTINVOLVED_PURCHASE
748173,A2,X1,c3,75772,5.56,True,NORMAL_PURCHASE
770130,A1,a5,c3,113835,6.06,True,SHADOW_PURCHASE1
776737,l16,X3,c1,35120,3.53,True,NOTINVOLVED_PURCHASE
789279,l38,X3,c1,64056,2.64,True,NOTINVOLVED_PURCHASE
795485,A7,a3,c6,75159,8.52,True,SHADOW_PURCHASE1
800571,l6,X3,c1,66131,2.11,True,NOTINVOLVED_PURCHASE
810401,l8,X5,c6,85673,4.15,True,NOTINVOLVED_PURCHASE
829557,l22,X5,c4,111679,11.94,True,NOTINVOLVED_PURCHASE
854195,l1,X6,c2,70198,4.64,True,NOTINVOLVED_PURCHASE
873404,l23,X2,c5,77997,27.33,True,NOTINVOLVED_PURCHASE
890855,A0,X6,c6,83955,5.12,True,NORMAL_PURCHASE
903193,l9,X3,c1,103668,3.07,True,NOTINVOLVED_PURCHASE
1018939,a5,x1,c3,113835,3.27,False,SHADOW_PURCHASE2
1076667,a3,x0,c6,75159,5.9,False,SHADOW_PURCHASE2
1287984,x1,X1,c3,113835,2.18,True,SHADOW_PURCHASE3
1319891,x0,X1,c6,75159,2.11,True,SHADOW_PURCHASE3
2771185,l25,X3,c4,108397,4.96,True,NOTINVOLVED_PURCHASE
2788732,l32,X3,c1,30264,2.14,True,NOTINVOLVED_PURCHASE
2809174,l2,X3,c4,119292,9.18,True,NOTINVOLVED_PURCHASE
2844191,l19,X5,c6,115312,8.85,True,NOTINVOLVED_PURCHASE
2864138,l37,X3,c1,104825,2.17,True,NOTINVOLVED_PURCHASE
2871981,l24,X2,c6,87668,9.68,True,NOTINVOLVED_PURCHASE
2907811,l36,X2,c6,99547,4.68,True,NOTINVOLVED_PURCHASE
2949685,l13,X1,c4,33346,6.33,True,NOTINVOLVED_PURCHASE
2951361,l12,X3,c4,46434,7.71,True,NOTINVOLVED_PURCHASE
2962641,l26,X0,c5,64607,6.93,True,NOTINVOLVED_PURCHASE
3054178,l4,X3,c1,103392,2.12,True,NOTINVOLVED_PURCHASE
3069569,l35,X4,c4,116213,15.82,True,NOTINVOLVED_PURCHASE
3084552,l33,X2,c4,98825,13.4,True,NOTINVOLVED_PURCHASE
3091464,A4,a1,c3,62464,5.49,True,SHADOW_PURCHASE1
3120062,l21,X5,c6,117282,9.99,True,NOTINVOLVED_PURCHASE
3127582,l15,X4,c4,72018,11.17,True,NOTINVOLVED_PURCHASE
3140796,A6,X5,c6,73916,8.49,True,NORMAL_PURCHASE
3160483,l5,X1,c1,78474,3.14,True,NOTINVOLVED_PURCHASE
3168376,l3,X0,c4,105619,7.89,True,NOTINVOLVED_PURCHASE
3168871,l0,X1,c6,35117,8.8,True,NOTINVOLVED_PURCHASE
3211390,l18,X4,c2,95706,5.21,True,NOTINVOLVED_PURCHASE
3214836,A5,a2,c5,73875,9.55,True,SHADOW_PURCHASE1
3224294,l20,X5,c6,56845,9.48,True,NOTINVOLVED_PURCHASE
3253927,l14,X4,c2,32066,9.42,True,NOTINVOLVED_PURCHASE
3272119,l34,X1,c6,113693,5.68,True,NOTINVOLVED_PURCHASE
3279194,l28,X4,c4,88756,7.87,True,NOTINVOLVED_PURCHASE
3287562,l11,X0,c6,64155,2.74,True,NOTINVOLVED_PURCHASE
3292195,l7,X2,c5,101041,15.9,True,NOTINVOLVED_PURCHASE
3299393,l29,X2,c5,76370,7.73,True,NOTINVOLVED_PURCHASE
3308663,l39,X6,c2,108659,11.08,True,NOTINVOLVED_PURCHASE
3322746,A7,a5,c2,60010,7.47,True,SHADOW_PURCHASE1
3330154,l30,X1,c3,111272,2.46,True,NOTINVOLVED_PURCHASE
3336350,a1,x5,c3,62464,5.4,False,SHADOW_PURCHASE2
3339685,l31,X2,c5,75874,14.31,True,NOTINVOLVED_PURCHASE
3351186,A1,X1,c1,31288,2.44,True,NORMAL_PURCHASE
3367609,A0,X2,c4,30607,11.5,True,NORMAL_PURCHASE
3397461,l17,X5,c4,115345,9.31,True,NOTINVOLVED_PURCHASE
3429004,l1,X5,c6,33188,6.92,True,NOTINVOLVED_PURCHASE
3435909,l38,X5,c4,84475,14.27,True,NOTINVOLVED_PURCHASE
3440834,l9,X6,c2,44576,12.74,True,NOTINVOLVED_PURCHASE
3477180,l22,X4,c2,96075,5.6,True,NOTINVOLVED_PURCHASE
3487924,A3,X0,c6,76741,8.74,True,NORMAL_PURCHASE
3495736,a2,x2,c5,73875,5.33,False,SHADOW_PURCHASE2
3513934,l10,X5,c6,107465,8.61,True,NOTINVOLVED_PURCHASE
3519388,l8,X3,c4,44852,13.5,True,NOTINVOLVED_PURCHASE
3539271,l27,X6,c2,114042,13.32,True,NOTINVOLVED_PURCHASE
3578867,l16,X3,c1,110285,3.55,True,NOTINVOLVED_PURCHASE
3580697,A2,X5,c6,50175,10.12,True,NORMAL_PURCHASE
3585094,a5,x2,c2,60010,6.65,False,SHADOW_PURCHASE2
3588728,x5,X1,c3,62464,2.74,True,SHADOW_PURCHASE3
3603699,l6,X3,c1,71972,2.89,True,NOTINVOLVED_PURCHASE
3615721,l23,X5,c4,113471,6.53,True,NOTINVOLVED_PURCHASE
3772410,x2,X2,c5,73875,3.73,True,SHADOW_PURCHASE3
3822922,x2,X4,c2,60010,4.42,True,SHADOW_PURCHASE3
5313761,l25,X4,c6,58815,6.59,True,NOTINVOLVED_PURCHASE
5338352,l2,X0,c4,74673,12.85,True,NOTINVOLVED_PURCHASE
5355597,l12,X6,c2,62378,11.76,True,NOTINVOLVED_PURCHASE
5360956,l13,X4,c4,96277,15.68,True,NOTINVOLVED_PURCHASE
5395431,l32,X2,c5,104788,15.35,True,NOTINVOLVED_PURCHASE
5448686,l37,X0,c5,33560,19.95,True,NOTINVOLVED_PURCHASE
5483174,l35,X0,c4,32552,12.56,True,NOTINVOLVED_PURCHASE
5515074,l36,X2,c6,60979,10.4,True,NOTINVOLVED_PURCHASE
5524862,l26,X0,c1,67799,3.33,True,NOTINVOLVED_PURCHASE
5591312,A6,a4,c4,85639,11.24,True,SHADOW_PURCHASE1
5631597,l15,X3,c4,103133,4.83,True,NOTINVOLVED_PURCHASE
5633978,l24,X6,c2,37503,5.63,True,NOTINVOLVED_PURCHASE
5654755,l33,X5,c6,97283,8.14,True,NOTINVOLVED_PURCHASE
5674419,l19,X1,c6,116859,8.07,True,NOTINVOLVED_PURCHASE
5676567,l21,X5,c6,62075,3.15,True,NOTINVOLVED_PURCHASE
5725154,l3,X1,c3,93803,4.55,True,NOTINVOLVED_PURCHASE
5727028,l20,X6,c2,81082,6.56,True,NOTINVOLVED_PURCHASE
5738931,l18,X6,c6,108951,6.71,True,NOTINVOLVED_PURCHASE
5749555,l34,X4,c5,33661,24.02,True,NOTINVOLVED_PURCHASE
5760467,l29,X1,c1,107056,3.62,True,NOTINVOLVED_PURCHASE
5773858,l5,X5,c4,96656,13.87,True,NOTINVOLVED_PURCHASE
5780617,A0,X3,c1,62784,3.89,True,NORMAL_PURCHASE
5791331,A4,X5,c6,66542,9.83,True,NORMAL_PURCHASE
5795298,l4,X6,c2,107509,11.74,True,NOTINVOLVED_PURCHASE
5808947,A5,X4,c2,98236,10.7,True,NORMAL_PURCHASE
5819753,l11,X0,c5,96303,22.35,True,NOTINVOLVED_PURCHASE
5843581,l7,X0,c4,94621,11.34,True,NOTINVOLVED_PURCHASE
5844248,a4,x5,c4,85639,8.24,False,SHADOW_PURCHASE2
5921545,l14,X4,c4,103162,15.7,True,NOTINVOLVED_PURCHASE
5937795,l30,X3,c1,119319,2.3,True,NOTINVOLVED_PURCHASE
5948872,l31,X5,c6,31362,8.02,True,NOTINVOLVED_PURCHASE
5980898,l28,X3,c1,61185,3.15,True,NOTINVOLVED_PURCHASE
5982468,A2,X0,c5,95615,18.86,True,NORMAL_PURCHASE
