timestamp,investor,amount,traced,eventType
326867,F5,591779.08,True,NOTINVOLVED_INVESTMENT
327361,F9,644968.27,True,NOTINVOLVED_INVESTMENT
327480,F27,633959.18,True,NOTINVOLVED_INVESTMENT
337115,F31,573304.61,True,NOTINVOLVED_INVESTMENT
348453,F17,647609.07,True,NOTINVOLVED_INVESTMENT
364747,F6,640244.13,True,NOTINVOLVED_INVESTMENT
383984,F13,638714.94,True,NOTINVOLVED_INVESTMENT
388932,F23,650552.52,True,NOTINVOLVED_INVESTMENT
422410,F3,560981.79,True,NOTINVOLVED_INVESTMENT
427450,F10,642082.59,True,NOTINVOLVED_INVESTMENT
486578,F38,584972.96,True,NOTINVOLVED_INVESTMENT
488245,F11,578644.43,True,NOTINVOLVED_INVESTMENT
525932,F19,630302.67,True,NOTINVOLVED_INVESTMENT
529475,F36,559562.02,True,NOTINVOLVED_INVESTMENT
536477,F28,609585.52,True,NOTINVOLVED_INVESTMENT
554214,F8,562321.95,True,NOTINVOLVED_INVESTMENT
577872,F12,629737.65,True,NOTINVOLVED_INVESTMENT
603099,F22,638476.93,True,NOTINVOLVED_INVESTMENT
608639,F25,602671.22,True,NOTINVOLVED_INVESTMENT
632084,F30,632941.42,True,NOTINVOLVED_INVESTMENT
642864,F32,614820.05,True,NOTINVOLVED_INVESTMENT
652083,F37,658283.26,True,NOTINVOLVED_INVESTMENT
660175,F34,608160.26,True,NOTINVOLVED_INVESTMENT
717938,F26,568174.49,True,NOTINVOLVED_INVESTMENT
720326,F21,635412.49,True,NOTINVOLVED_INVESTMENT
738143,F29,564525.16,True,NOTINVOLVED_INVESTMENT
753366,F14,611141.04,True,NOTINVOLVED_INVESTMENT
760161,F7,633558.73,True,NOTINVOLVED_INVESTMENT
774175,F16,613711.16,True,NOTINVOLVED_INVESTMENT
797115,F35,590379.22,True,NOTINVOLVED_INVESTMENT
797735,F20,617391.12,True,NOTINVOLVED_INVESTMENT
821628,F15,561835.05,True,NOTINVOLVED_INVESTMENT
844223,F33,601612.99,True,NOTINVOLVED_INVESTMENT
847979,F24,645202.64,True,NOTINVOLVED_INVESTMENT
877733,F39,551017.87,True,NOTINVOLVED_INVESTMENT
884852,F18,621428.21,True,NOTINVOLVED_INVESTMENT
