timestamp,from,to,amount,eventType
2926304,a0,f1,909039.04,MONEY_TRANSFER
3063063,a1,f3,566956.64,MONEY_TRANSFER
3323777,a2,f2,780482.25,MONEY_TRANSFER
7935269,a0,f1,614968.02,MONEY_TRANSFER
10471895,a2,f2,514610.59,MONEY_TRANSFER
13735100,a2,f2,453506.41,MONEY_TRANSFER
14069767,a3,f0,563337.0,MONEY_TRANSFER
15904490,a0,f1,648966.15,MONEY_TRANSFER
16150859,a3,f0,563044.26,MONEY_TRANSFER
16167120,a5,f2,460464.66,MONEY_TRANSFER
16405004,a2,f2,777044.48,MONEY_TRANSFER
18890857,a5,f2,555096.3,MONEY_TRANSFER
19600093,a0,f1,960590.4,MONEY_TRANSFER
21659412,a2,f2,450503.13,MONEY_TRANSFER
23691780,a4,f3,674918.63,MONEY_TRANSFER
26535938,a4,f3,371786.03,MONEY_TRANSFER
26942861,a2,f2,860022.78,MONEY_TRANSFER
26985989,a5,f2,338975.12,MONEY_TRANSFER
31814501,a1,f3,372134.34,MONEY_TRANSFER
35002371,a0,f1,444073.32,MONEY_TRANSFER
37596689,a0,f1,475505.28,MONEY_TRANSFER
37616742,a1,f3,597299.16,MONEY_TRANSFER
42125283,a0,f1,303178.2,MONEY_TRANSFER
42374929,a2,f2,424282.29,MONEY_TRANSFER
43259090,a2,f2,406269.38,MONEY_TRANSFER
45921543,a4,f3,428424.52,MONEY_TRANSFER
47995339,a1,f3,372980.11,MONEY_TRANSFER
49824374,a5,f2,710371.74,MONEY_TRANSFER
53780734,a5,f2,544443.64,MONEY_TRANSFER
59320272,a3,f0,252562.94,MONEY_TRANSFER
60695273,a0,f1,545135.32,MONEY_TRANSFER
